tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,high,ALL,p,raw,42,0.5339485181856221,0.8547710630685428,0.7166602289845191,0.2866060851516025,0.07836293450148733
0.05,0_500ms,high,ALL,p,slow,17,0.2610303165648348,0.6584056777637448,0.6186382834935833,0.06851270676428967,0.07785731036185585
0.05,0_500ms,high,ALL,p,slow,23,0.2580171706095759,0.6584056777637448,0.6168474716196517,0.06702588029785267,0.07678474646529751
0.05,0_500ms,high,ALL,p,slow,42,0.263689435417229,0.6584056777637448,0.6200621089539677,0.07001404268969548,0.07836293450148733
0.05,0_500ms,high,ALL,q,fast,17,0.157888547391399,0.34623468826059306,0.3047493605410141,0.025230847031782695,0.01639094077347175
0.05,0_500ms,high,ALL,q,fast,23,0.16396693608308252,0.34623468826059306,0.2995436574623767,0.027322574963212987,0.017493102676141653
0.05,0_500ms,high,ALL,q,fast,42,0.15563512162209317,0.34623468826059306,0.30528928214871154,0.024572940842484084,0.01583670190669277
0.05,0_500ms,high,ALL,q,raw,17,0.2710484297216189,0.7846274738910569,0.7226177508340651,0.0749383522314997,0.01639094077347175
0.05,0_500ms,high,ALL,q,raw,23,0.28239526330245956,0.7846274738910569,0.716360879736951,0.08165771212230341,0.017493102676141653
0.05,0_500ms,high,ALL,q,raw,42,0.270000958302609,0.7846274738910569,0.7281673330502276,0.07450004743140354,0.01583670190669277
0.05,0_500ms,high,ALL,q,slow,17,0.17935662141201453,0.6303163242764039,0.5906055426175968,0.033316564426245254,0.01639094077347175
0.05,0_500ms,high,ALL,q,slow,23,0.18811478590505745,0.6303163242764039,0.5873197328986418,0.03684203448294878,0.017493102676141653
0.05,0_500ms,high,ALL,q,slow,42,0.1810453394498324,0.6303163242764039,0.5973820536248592,0.03409040468222668,0.01583670190669277
0.05,0_500ms,high,ALL,r,fast,17,0.0712176914906477,0.07806203419101854,0.04895322157076976,0.005144480319413107,0.004553165270107128
0.05,0_500ms,high,ALL,r,fast,23,0.06989389194714696,0.07806203419101854,0.04820053045070049,0.004945400201321236,0.004437599902543016
0.05,0_500ms,high,ALL,r,fast,42,0.07062957624820619,0.07806203419101854,0.04811704706420153,0.005049200123211227,0.004494563281844852
0.05,0_500ms,high,ALL,r,raw,17,0.16275511016080002,0.27127233131945455,0.22800745561806493,0.02696193133347653,0.004553165270107128
